month,year,pf_id,status,local_time,op_months,fixed_price,avg_energy_MWh,degradation_factor,revenue,opex,interest,debt_repay,gross_cf,tax,after_tax_fcf,token_cf_75pct,distribution,nav_contribution,curtailment,contracted_price
338,28.17,17,POST,110,98,254.5,103.82,0.959891,25362966.0,1666667.0,1666667.0,2222222.0,19807410.0,4357630.0,15449780.0,11587335.0,11587335.0,1195901916.0,0,254.5
338,28.17,18,POST,98,86,275.19,103.82,0.964714,27562775.0,1666667.0,1666667.0,2222222.0,22007219.0,4841588.0,17165631.0,12874223.0,12874223.0,1416648919.0,0,275.19
338,28.17,19,POST,86,74,279.89,103.82,0.969562,28173476.0,1666667.0,1666667.0,2222222.0,22617920.0,4975942.0,17641978.0,13231483.0,13231483.0,1543189327.0,0,279.89
338,28.17,20,POST,74,62,247.51,103.82,0.974434,25040044.0,1666667.0,1666667.0,2222222.0,19484488.0,4286587.0,15197901.0,11398426.0,11398426.0,1401956732.0,0,247.51
338,28.17,21,POST,62,50,233.41,103.82,0.979331,23732135.0,1666667.0,1666667.0,2222222.0,18176579.0,3998847.0,14177732.0,10633299.0,10633299.0,1373229911.0,0,233.41
338,28.17,22,POST,50,38,236.52,103.82,0.984252,24169374.0,1666667.0,1666667.0,2222222.0,18613818.0,4095040.0,14518778.0,10889084.0,10889084.0,1470959352.0,0,236.52
338,28.17,23,POST,38,26,245.86,103.82,0.989198,25249800.0,1666667.0,1666667.0,2222222.0,19694245.0,4332734.0,15361511.0,11521133.0,11521133.0,1622510015.0,0,245.86
338,28.17,24,POST,26,14,254.33,103.82,0.994169,26250407.0,1666667.0,1666667.0,2222222.0,20694851.0,4552867.0,16141984.0,12106488.0,12106488.0,1772185790.0,0,254.33
338,28.17,25,POST,14,2,225.74,103.82,0.999165,23417045.0,1666667.0,1666667.0,2222222.0,17861490.0,3929528.0,13931962.0,10448971.0,10448971.0,1585699014.0,0,225.74
338,28.17,26,PRE,2,0,219.01,103.82,1.0,22737509.0,1666667.0,1666667.0,2222222.0,17181953.0,3780030.0,13401924.0,10051443.0,0.0,1424164608.0,0,
339,28.25,6,POST,243,231,202.41,104.3,0.908018,19170642.0,1666667.0,1666667.0,0.0,15837309.0,3484208.0,12353101.0,9264826.0,9264826.0,74186701.0,0,202.41
339,28.25,7,POST,231,219,198.62,104.3,0.912581,18906055.0,1666667.0,1666667.0,0.0,15572721.0,3425999.0,12146723.0,9110042.0,9110042.0,166964842.0,0,198.62
339,28.25,8,POST,219,207,210.81,104.3,0.917166,20167197.0,1666667.0,1666667.0,0.0,16833864.0,3703450.0,13130414.0,9847810.0,9847810.0,278269103.0,0,210.81
339,28.25,9,POST,207,195,216.44,104.3,0.921775,20809621.0,1666667.0,1666667.0,0.0,17476288.0,3844783.0,13631504.0,10223628.0,10223628.0,386582223.0,0,216.44
339,28.25,10,POST,195,183,251.22,104.3,0.926407,24275409.0,1666667.0,1666667.0,0.0,20942075.0,4607257.0,16334819.0,12251114.0,12251114.0,575936431.0,0,251.22
339,28.25,11,POST,183,171,270.52,104.3,0.931063,26271227.0,1666667.0,1666667.0,2222222.0,20715672.0,4557448.0,16158224.0,12118668.0,12118668.0,677040488.0,0,270.52
339,28.25,12,POST,171,159,267.81,104.3,0.935741,26138598.0,1666667.0,1666667.0,2222222.0,20583043.0,4528269.0,16054773.0,12041080.0,12041080.0,775415241.0,0,267.81
339,28.25,13,POST,159,147,265.18,104.3,0.940444,26012018.0,1666667.0,1666667.0,2222222.0,20456463.0,4500422.0,15956041.0,11967031.0,11967031.0,868986340.0,0,265.18
339,28.25,14,POST,147,135,267.36,104.3,0.945169,26358204.0,1666667.0,1666667.0,2222222.0,20802648.0,4576583.0,16226066.0,12169549.0,12169549.0,980061880.0,0,267.36
339,28.25,15,POST,135,123,266.86,104.3,0.949919,26440343.0,1666667.0,1666667.0,2222222.0,20884788.0,4594653.0,16290134.0,12217601.0,12217601.0,1077193698.0,0,266.86
339,28.25,16,POST,123,111,258.82,104.3,0.954692,25773165.0,1666667.0,1666667.0,2222222.0,20217610.0,4447874.0,15769736.0,11827302.0,11827302.0,1129836791.0,0,258.82
339,28.25,17,POST,111,99,254.5,104.3,0.95949,25470481.0,1666667.0,1666667.0,2222222.0,19914925.0,4381284.0,15533642.0,11650231.0,11650231.0,1195633586.0,0,254.5
339,28.25,18,POST,99,87,275.19,104.3,0.964311,27679615.0,1666667.0,1666667.0,2222222.0,22124060.0,4867293.0,17256766.0,12942575.0,12942575.0,1416923037.0,0,275.19
339,28.25,19,POST,87,75,279.89,104.3,0.969157,28292905.0,1666667.0,1666667.0,2222222.0,22737349.0,5002217.0,17735132.0,13301349.0,13301349.0,1544147573.0,0,279.89
339,28.25,20,POST,75,63,247.51,104.3,0.974027,25146190.0,1666667.0,1666667.0,2222222.0,19590634.0,4309940.0,15280695.0,11460521.0,11460521.0,1403611339.0,0,247.51
339,28.25,21,POST,63,51,233.41,104.3,0.978922,23832737.0,1666667.0,1666667.0,2222222.0,18277181.0,4020980.0,14256201.0,10692151.0,10692151.0,1375437831.0,0,233.41
339,28.25,22,POST,51,39,236.52,104.3,0.983841,24271829.0,1666667.0,1666667.0,2222222.0,18716274.0,4117580.0,14598693.0,10949020.0,10949020.0,1473719052.0,0,236.52
339,28.25,23,POST,39,27,245.86,104.3,0.988785,25356836.0,1666667.0,1666667.0,2222222.0,19801280.0,4356282.0,15444998.0,11583749.0,11583749.0,1625869103.0,0,245.86
339,28.25,24,POST,27,15,254.33,104.3,0.993754,26361684.0,1666667.0,1666667.0,2222222.0,20806128.0,4577348.0,16228780.0,12171585.0,12171585.0,1776166801.0,0,254.33
339,28.25,25,POST,15,3,225.74,104.3,0.998748,23516311.0,1666667.0,1666667.0,2222222.0,17960756.0,3951366.0,14009389.0,10507042.0,10507042.0,1589877266.0,0,225.74
339,28.25,26,PRE,3,0,217.07,104.3,1.0,22641400.0,1666667.0,1666667.0,2222222.0,17085845.0,3758886.0,13326959.0,9995219.0,0.0,1429018495.0,0,
340,28.33,6,POST,244,232,202.41,105.45,0.907638,19372488.0,1666667.0,1666667.0,0.0,16039155.0,3528614.0,12510541.0,9382906.0,9382906.0,66892019.0,0,202.41
